Date,Time,Result,Periods,WRITING,BLE DEVICENAME,BLE MAC ADDRESS,FCTVER,MLBSERIAL,FATPSERIAL,DSNSERIAL,FLASH,BLE RSSI,ATIVECURR,STANBYCURR,IR/Current,IR LED,ACC_X,ACC_Y,ACC_Z
2022-04-19,08:53:28,OK,16.2,OK,ABC1,DEF1,GHI1,ABC2,DEF2,GHI2,ABC3,-33.0,2.2,2.6,230.9,1678.0,-26.0,-16.0,1043.0
2022-04-19,08:53:28,OK,15.5,OK,ABC2,DEF2,GHI2,ABC3,DEF3,GHI3,ABC4,-33.0,2.1,2.6,234.4,1740.0,-9.0,14.0,1174.0
2022-04-19,08:53:28,OK,16.0,OK,ABC3,DEF3,GHI3,ABC4,DEF4,GHI4,ABC5,-32.0,2.0,2.7,233.3,795.0,-15.0,-14.0,1081.0
2022-04-19,08:53:28,OK,15.3,OK,ABC4,DEF4,GHI4,ABC5,DEF5,GHI5,ABC6,-41.0,2.2,2.9,235.3,1179.0,-32.0,-5.0,849.0
2022-04-19,08:53:28,OK,15.0,OK,ABC5,DEF5,GHI5,ABC6,DEF6,GHI6,ABC7,-37.0,2.2,2.6,229.5,1294.0,35.0,28.0,1083.0
2022-04-19,08:53:28,OK,15.7,OK,ABC6,DEF6,GHI6,ABC7,DEF7,GHI7,ABC8,-33.0,2.2,2.5,224.1,2802.0,26.0,18.0,1244.0
2022-04-19,08:53:55,OK,15.3,OK,ABC7,DEF7,GHI7,ABC8,DEF8,GHI8,ABC9,-33.0,2.2,2.8,235.0,1655.0,18.0,-51.0,1113.0
2022-04-19,08:53:55,OK,16.0,OK,ABC8,DEF8,GHI8,ABC9,DEF9,GHI9,ABC10,-33.0,2.2,2.7,227.7,1686.0,-32.0,-21.0,1049.0
2022-04-19,08:53:55,OK,15.5,OK,ABC9,DEF9,GHI9,ABC10,DEF10,GHI10,ABC11,-33.0,2.1,2.7,228.5,783.0,-11.0,-9.0,1039.0
2022-04-19,08:53:55,OK,15.0,OK,ABC10,DEF10,GHI10,ABC11,DEF11,GHI11,ABC12,-33.0,2.2,2.8,232.6,1193.0,-25.0,9.0,950.0
2022-04-19,08:53:55,OK,15.7,OK,ABC11,DEF11,GHI11,ABC12,DEF12,GHI12,ABC13,-33.0,2.0,2.7,235.9,1295.0,-23.0,-48.0,947.0
2022-04-19,08:53:55,OK,16.2,OK,ABC12,DEF12,GHI12,ABC13,DEF13,GHI13,ABC14,-33.0,2.2,2.2,233.2,2798.0,-27.0,-25.0,872.0
2022-04-19,08:54:11,OK,17.4,OK,ABC13,DEF13,GHI13,ABC14,DEF14,GHI14,ABC15,-33.0,2.2,2.1,235.3,1699.0,-8.0,25.0,1168.0
2022-04-19,08:54:11,OK,17.9,OK,ABC14,DEF14,GHI14,ABC15,DEF15,GHI15,ABC16,-33.0,2.2,2.5,236.2,1740.0,0.0,-27.0,1044.0
2022-04-19,08:54:11,OK,18.1,OK,ABC15,DEF15,GHI15,ABC16,DEF16,GHI16,ABC17,-34.0,2.2,2.5,236.5,770.0,6.0,-9.0,1306.0
2022-04-19,08:54:11,OK,17.7,OK,ABC16,DEF16,GHI16,ABC17,DEF17,GHI17,ABC18,-46.0,2.3,2.7,235.2,1162.0,-17.0,20.0,986.0
2022-04-19,08:54:11,OK,17.2,OK,ABC17,DEF17,GHI17,ABC18,DEF18,GHI18,ABC19,-39.0,2.1,2.6,227.6,1296.0,-16.0,-40.0,1184.0
2022-04-19,08:54:11,OK,18.3,OK,ABC18,DEF18,GHI18,ABC19,DEF19,GHI19,ABC20,-32.0,2.2,2.6,222.1,2781.0,-27.0,-29.0,957.0
2022-04-19,08:54:38,OK,20.0,OK,ABC19,DEF19,GHI19,ABC20,DEF20,GHI20,ABC21,-33.0,2.2,2.7,233.2,1681.0,-33.0,-45.0,1194.0
2022-04-19,08:54:38,OK,19.5,OK,ABC20,DEF20,GHI20,ABC21,DEF21,GHI21,ABC22,-33.0,2.1,2.0,230.4,1679.0,-26.0,25.0,751.0
2022-04-19,08:54:38,OK,19.8,OK,ABC21,DEF21,GHI21,ABC22,DEF22,GHI22,ABC23,-33.0,2.2,2.8,230.5,761.0,-8.0,-17.0,1199.0
2022-04-19,08:54:38,OK,20.2,OK,ABC22,DEF22,GHI22,ABC23,DEF23,GHI23,ABC24,-33.0,2.2,2.8,235.0,1195.0,-47.0,-3.0,732.0
2022-04-19,08:54:38,OK,20.5,OK,ABC23,DEF23,GHI23,ABC24,DEF24,GHI24,ABC25,-32.0,2.1,2.6,233.2,1296.0,-37.0,1.0,1251.0
2022-04-19,08:54:38,OK,20.7,OK,ABC24,DEF24,GHI24,ABC25,DEF25,GHI25,ABC26,-33.0,2.2,2.7,229.1,2818.0,-33.0,-2.0,918.0
2022-04-19,08:55:05,OK,15.1,OK,ABC25,DEF25,GHI25,ABC26,DEF26,GHI26,ABC27,-33.0,2.2,2.8,232.7,1675.0,-20.0,-29.0,992.0
2022-04-19,08:55:05,OK,15.8,OK,ABC26,DEF26,GHI26,ABC27,DEF27,GHI27,ABC28,-33.0,2.1,2.6,240.1,1767.0,-34.0,-27.0,1043.0
2022-04-19,08:55:05,OK,16.0,OK,ABC27,DEF27,GHI27,ABC28,DEF28,GHI28,ABC29,-33.0,2.2,2.5,230.2,776.0,-28.0,-22.0,1157.0
2022-04-19,08:55:05,OK,15.6,OK,ABC28,DEF28,GHI28,ABC29,DEF29,GHI29,ABC30,-35.0,2.2,2.5,228.4,1152.0,13.0,6.0,1109.0
